,sales,area,CLUSTER
0,1040091,107.0,4
1,795407,109.0,3
2,752838,112.0,3
3,808349,130.0,3
4,737828,150.0,2
5,1383362,154.0,5
6,711246,157.0,2
7,650907,160.0,1
8,795732,160.0,2
9,1626377,160.5,5
10,960410,165.0,3
11,1755050,165.0,5
12,585761,168.0,1
13,549128,170.0,1
14,779227,182.4,1
15,1167381,186.0,3
16,1225150,190.7,3
17,991666,194.0,2
18,1198860,197.0,3
19,1083765,200.0,2
20,736575,205.0,1
21,985435,206.0,2
22,856690,217.0,1
23,1880767,218.0,5
24,1323384,222.0,3
25,657288,226.0,0
26,932900,238.0,1
27,521376,252.4,0
28,1833550,260.0,5
29,1770990,262.0,4
30,1156173,270.0,1
31,1812923,275.0,4
32,1244149,280.0,2
33,1640759,284.3,3
34,2190913,287.0,5
35,1200120,290.0,1
36,1289207,302.0,1
37,1347850,307.5,2
38,1080509,312.0,0
39,1732449,314.0,3
40,1034589,321.0,0
41,876934,330.0,0
42,1383055,330.0,1
43,1302991,330.0,1
44,1578165,340.0,2
45,1675109,372.0,2
46,1886020,405.0,2
47,1831255,424.0,2
48,1837325,429.0,1
49,1475903,439.0,0
50,1729189,444.0,1
51,1412852,454.0,0
52,1806886,491.4,0
53,1746378,518.4,0
54,2100080,528.0,1
55,2084596,528.0,1
56,1664316,542.0,0
57,2170717,583.0,0
