,Год,Месяц,t,Алка-зельтцер
0,2003,1,1,27756.793752096688
1,2003,2,2,17198.926263541303
2,2003,3,3,20786.674301857445
3,2003,4,4,25562.645105957778
4,2003,5,5,23282.538260732697
5,2003,6,6,20467.014199766203
6,2003,7,7,33260.4985641242
7,2003,8,8,26980.58788072811
8,2003,9,9,22307.293015961786
9,2003,10,10,23564.89043845377
10,2003,11,11,19110.416035568003
11,2003,12,12,34042.61634317585
12,2004,1,13,23174.413885348073
13,2004,2,14,13577.641164085013
14,2004,3,15,15622.498972250281
15,2004,4,16,16163.860294057158
16,2004,5,17,21608.08428368396
17,2004,6,18,25340.59597351154
18,2004,7,19,21913.229834347858
19,2004,8,20,20339.059888141128
20,2004,9,21,20539.886673473407
21,2004,10,22,20646.583736837027
22,2004,11,23,28529.131569404068
23,2004,12,24,44461.940843142096
24,2005,1,25,39067.53472581764
25,2005,2,26,22753.91194639877
26,2005,3,27,29231.679136325507
27,2005,4,28,32646.888776721564
28,2005,5,29,28702.493753688294
29,2005,6,30,32360.667851841
30,2005,7,31,32520.74353269251
31,2005,8,32,34553.506156920565
32,2005,9,33,32825.555348936694
33,2005,10,34,32407.175156269346
34,2005,11,35,33863.67108841147
35,2005,12,36,64555.22235330875
36,2006,1,37,50907.73051794031
37,2006,2,38,27709.26881081202
38,2006,3,39,34836.915187932726
39,2006,4,40,49264.39016283767
40,2006,5,41,43637.95870037611
41,2006,6,42,42643.87718002101
42,2006,7,43,37907.11279150304
43,2006,8,44,37939.188065309136
44,2006,9,45,30623.1654024234
45,2006,10,46,30166.035272332447
46,2006,11,47,32849.256559539775
47,2006,12,48,54302.63172567305
48,2007,1,49,43482.67711940126
49,2007,2,50,30615.484982084898
50,2007,3,51,38368.149907670886
51,2007,4,52,43420.43084670327
52,2007,5,53,36700.6556219472
53,2007,6,54,35551.21468510381
54,2007,7,55,40302.71118751377
55,2007,8,56,42235.296931896824
56,2007,9,57,36670.1006053135
57,2007,10,58,39599.81152093175
58,2007,11,59,34277.07566029233
59,2007,12,60,72192.36903064615
60,2008,1,61,53522.97329633114
61,2008,2,62,42251.83484180175
62,2008,3,63,49368.701516765344
63,2008,4,64,59307.19046127201
64,2008,5,65,58604.64466341434
65,2008,6,66,59353.11184788749
66,2008,7,67,51664.18249485919
67,2008,8,68,49147.70425864182
68,2008,9,69,37436.61162524422
69,2008,10,70,39463.68767977235
70,2008,11,71,35018.60130277541
71,2008,12,72,51036.56958614416
72,2009,1,73,33069.01660933811
73,2009,2,74,22980.598455823
74,2009,3,75,24980.790101377155
75,2009,4,76,28361.64736463279
76,2009,5,77,25396.497048106292
77,2009,6,78,25638.99856563043
78,2009,7,79,23673.020682392005
79,2009,8,80,24274.14987626442
80,2009,9,81,20983.19834313
81,2009,10,82,19314.559176121395
82,2009,11,83,16901.294297240504
83,2009,12,84,26545.980788226254
84,2010,1,85,20285.634328618664
85,2010,2,86,12992.275412217372
86,2010,3,87,16410.714490564624
87,2010,4,88,18350.066033939995
88,2010,5,89,20545.484845443698
89,2010,6,90,19811.023479189163
90,2010,7,91,19581.839147241742
91,2010,8,92,20554.327882431968
92,2010,9,93,18390.826263430932
93,2010,10,94,17390.829353124056
94,2010,11,95,18261.00528226769
95,2010,12,96,28085.286615613662
96,2011,1,97,22478.404248181036
97,2011,2,98,13807.28872315134
98,2011,3,99,16925.919344784033
99,2011,4,100,20530.82792268115
100,2011,5,101,20739.327431959842
101,2011,6,102,21781.890383397254
102,2011,7,103,23145.51365743285
103,2011,8,104,22225.922531846645
104,2011,9,105,18800.16480116497
105,2011,10,106,19040.983825023657
106,2011,11,107,18622.6319390982
107,2011,12,108,38349.43699544598
108,2012,1,109,26634.576652535194
109,2012,2,110,15628.368046232657
110,2012,3,111,17938.86439935865
111,2012,4,112,22289.596610991302
112,2012,5,113,20969.965035392976
113,2012,6,114,22588.94862841815
114,2012,7,115,22347.16414558035
115,2012,8,116,21390.48299906359
116,2012,9,117,19256.89232470295
117,2012,10,118,18718.042923988978
118,2012,11,119,17867.002908014492
119,2012,12,120,28815.54357140146
120,2013,1,121,20342.687432178947
